iter	Passed	Remaining
0	0	35
1	0	30
2	0	28
3	1	25
4	1	25
5	1	24
6	1	24
7	2	24
8	2	24
9	2	25
10	3	25
11	3	25
12	3	24
13	4	25
14	4	25
15	4	25
16	5	25
17	5	26
18	6	27
19	6	27
20	7	27
21	7	26
22	9	31
23	9	30
24	9	29
25	10	29
26	10	28
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	14	29
33	15	29
34	15	29
35	16	29
36	16	28
37	22	37
38	23	36
39	23	35
40	23	34
41	23	33
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	30	26
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	37	17
68	37	16
69	38	16
70	38	15
71	38	15
72	39	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
