iter	Passed	Remaining
0	56	55982
1	56	28165
2	56	18941
3	57	14297
4	58	11555
5	59	9780
6	59	8431
7	59	7438
8	60	6655
9	60	6018
10	61	5503
11	61	5063
12	61	4690
13	62	4370
14	62	4110
15	63	3877
16	63	3683
17	64	3505
18	65	3383
19	66	3262
20	66	3119
21	67	2988
22	67	2867
23	68	2798
24	69	2696
25	69	2606
26	70	2529
27	71	2471
28	71	2396
29	72	2337
30	72	2279
31	73	2222
32	73	2161
33	74	2110
34	74	2055
35	75	2011
36	75	1977
37	76	1933
38	76	1890
39	77	1862
40	78	1829
41	78	1798
42	79	1765
43	80	1750
44	81	1720
45	81	1695
46	82	1665
47	82	1635
48	82	1610
49	83	1584
50	84	1566
51	84	1545
52	85	1521
53	85	1503
54	86	1486
55	86	1463
56	87	1443
57	87	1427
58	89	1422
59	92	1444
60	92	1429
61	93	1410
62	93	1393
63	94	1377
64	95	1371
65	95	1354
66	96	1338
67	96	1324
68	96	1308
69	97	1296
70	98	1284
71	99	1276
72	99	1264
73	100	1251
74	100	1242
75	101	1229
76	101	1218
77	101	1205
78	102	1193
79	103	1185
80	103	1176
81	104	1164
82	104	1151
83	104	1141
84	105	1131
85	105	1122
86	106	1115
87	106	1106
88	107	1097
89	107	1088
90	108	1079
91	108	1071
92	108	1061
93	109	1055
94	109	1047
95	110	1038
96	110	1030
97	111	1023
98	111	1015
99	111	1007
100	112	999
101	112	992
102	113	991
103	114	983
104	114	977
105	115	970
106	115	963
107	115	957
108	116	951
109	116	944
110	117	938
111	128	1018
112	138	1090
113	139	1082
114	139	1073
115	139	1065
116	139	1056
117	140	1047
118	140	1039
119	140	1032
120	140	1024
121	141	1015
122	141	1008
123	141	1001
124	141	993
125	142	986
126	142	978
127	142	971
128	142	965
129	143	958
130	143	951
131	143	945
132	143	938
133	144	932
134	144	925
135	144	919
136	145	913
137	145	907
138	145	901
139	145	895
140	146	890
141	146	883
142	146	877
143	146	872
144	147	866
145	147	861
146	147	856
147	147	850
148	148	845
149	158	898
150	158	893
151	159	890
152	160	886
153	160	883
154	161	879
155	161	874
156	162	871
157	162	867
158	163	864
159	163	859
160	164	854
161	164	850
162	164	847
163	165	842
164	165	839
165	173	869
166	173	865
167	182	905
168	183	901
169	183	896
170	184	892
171	184	887
172	184	882
173	184	877
174	185	872
175	185	867
176	185	864
177	186	861
178	187	858
179	187	855
180	188	851
181	188	848
182	189	844
183	189	840
184	189	836
185	190	832
186	190	830
187	191	827
188	191	823
189	192	819
190	193	820
191	196	826
192	196	822
193	197	818
194	197	814
195	197	810
196	197	806
197	198	802
198	198	798
199	198	794
200	198	791
201	199	790
202	200	787
203	201	784
204	201	782
205	203	785
206	208	799
207	209	796
208	209	792
209	209	788
210	209	785
211	210	781
212	210	777
213	210	774
214	211	770
215	211	766
216	211	763
217	211	759
218	212	756
219	212	752
220	212	749
221	212	746
222	213	742
223	213	739
224	213	735
225	213	732
226	214	729
227	214	726
228	214	723
229	215	719
230	215	716
231	215	713
232	215	710
233	216	707
234	216	704
235	216	701
236	216	698
237	217	695
238	217	692
239	217	689
240	217	686
241	218	683
242	231	720
243	231	718
244	232	716
245	232	714
246	233	711
247	233	709
248	234	707
249	235	705
250	235	703
251	236	700
252	236	699
253	237	696
254	237	694
255	238	691
256	238	689
257	238	687
258	239	684
259	239	681
260	239	679
261	240	676
262	241	677
263	242	674
264	242	672
265	242	669
266	242	667
267	243	664
268	243	661
269	243	659
270	244	656
271	244	653
272	244	651
273	244	648
274	245	646
275	245	643
276	245	641
277	245	638
278	246	636
279	246	633
280	246	631
281	246	628
282	247	626
283	247	624
284	247	621
285	248	619
286	248	616
287	248	614
288	248	612
289	249	610
290	249	608
291	249	605
292	250	603
293	250	601
294	250	598
295	250	596
296	251	594
297	251	592
298	251	590
299	251	587
300	252	585
301	252	583
302	252	581
303	253	579
304	253	577
305	253	575
306	253	572
307	254	570
308	254	568
309	254	566
310	254	564
311	255	563
312	255	561
313	256	559
314	256	557
315	256	555
316	256	553
317	259	556
318	266	569
319	267	567
320	267	565
321	267	563
322	268	561
323	268	560
324	268	558
325	269	558
326	270	556
327	270	554
328	271	552
329	271	550
330	271	548
331	281	567
332	302	605
333	312	623
334	312	621
335	313	619
336	313	616
337	313	614
338	314	612
339	314	610
340	314	607
341	314	605
342	315	603
343	315	601
344	315	599
345	315	597
346	316	594
347	316	592
348	316	590
349	316	588
350	317	586
351	317	584
352	317	582
353	317	580
354	318	578
355	318	576
356	318	574
357	319	572
358	319	570
359	319	568
360	319	566
361	320	564
362	320	562
363	320	560
364	320	558
365	321	556
366	321	554
367	321	552
368	325	557
369	326	555
370	346	587
371	346	585
372	347	583
373	347	581
374	347	579
375	348	577
376	348	575
377	348	573
378	348	571
379	349	569
380	349	567
381	349	565
382	349	563
383	350	561
384	350	559
385	350	557
386	350	555
387	351	554
388	351	552
389	351	550
390	352	548
391	352	546
392	352	544
393	352	542
394	353	540
395	353	538
396	353	537
397	353	535
398	354	533
399	354	531
400	355	530
401	355	528
402	357	529
403	357	528
404	358	526
405	358	524
406	359	523
407	360	523
408	360	521
409	361	520
410	361	518
411	363	518
412	363	516
413	364	515
414	364	514
415	365	512
416	365	511
417	366	509
418	366	508
419	367	506
420	367	505
421	368	504
422	368	503
423	369	501
424	369	500
425	370	498
426	370	497
427	370	495
428	371	495
429	372	493
430	372	492
431	373	490
432	373	489
433	373	487
434	374	486
435	374	484
436	375	483
437	375	482
438	376	480
439	377	479
440	377	478
441	377	477
442	378	475
443	378	474
444	378	472
445	379	471
446	379	469
447	380	468
448	380	467
449	381	465
450	381	464
451	381	463
452	382	461
453	382	460
454	383	459
455	383	457
456	384	456
457	384	455
458	385	454
459	385	452
460	386	451
461	386	450
462	386	448
463	387	447
464	387	446
465	388	444
466	388	443
467	389	442
468	389	440
469	391	441
470	396	445
471	407	456
472	407	454
473	408	453
474	408	451
475	408	449
476	409	448
477	409	446
478	409	445
479	409	444
480	410	442
481	410	441
482	410	439
483	410	438
484	411	436
485	411	435
486	411	433
487	412	432
488	412	430
489	412	429
490	412	427
491	413	426
492	413	425
493	413	423
494	413	422
495	414	420
496	414	419
497	414	418
498	414	416
499	415	415
500	415	413
501	415	412
502	416	411
503	416	409
504	416	408
505	416	406
506	427	415
507	427	413
508	427	412
509	427	411
510	428	409
511	428	408
512	428	407
513	429	405
514	429	404
515	429	402
516	429	401
517	430	400
518	430	398
519	430	397
520	430	396
521	431	394
522	431	393
523	431	392
524	431	390
525	432	389
526	432	388
527	432	386
528	432	385
529	433	384
530	433	382
531	433	381
532	433	380
533	434	378
534	434	377
535	434	376
536	435	375
537	435	373
538	435	372
539	435	371
540	436	369
541	436	368
542	436	367
543	444	372
544	444	371
545	444	369
546	445	368
547	445	367
548	445	366
549	446	365
550	446	364
551	447	363
552	448	362
553	448	361
554	448	359
555	449	358
556	449	357
557	449	356
558	449	354
559	450	353
560	450	352
561	450	351
562	451	350
563	451	348
564	451	347
565	451	346
566	452	345
567	452	344
568	452	342
569	452	341
570	453	340
571	453	339
572	453	338
573	453	336
574	456	337
575	456	335
576	457	335
577	460	336
578	460	334
579	460	333
580	461	332
581	461	331
582	461	330
583	461	329
584	462	327
585	462	326
586	462	325
587	462	324
588	463	323
589	463	322
590	463	320
591	464	319
592	464	318
593	464	317
594	464	316
595	465	315
596	465	314
597	465	312
598	465	311
599	466	310
600	466	309
601	466	308
602	469	308
603	469	307
604	469	306
605	470	305
606	470	304
607	470	303
608	470	302
609	471	301
610	471	300
611	471	299
612	471	297
613	472	296
614	472	295
615	472	294
616	472	293
617	473	292
618	473	291
619	473	290
620	474	289
621	474	288
622	474	287
623	474	286
624	475	285
625	475	283
626	475	282
627	475	281
628	476	280
629	476	279
630	476	278
631	476	277
632	477	276
633	477	275
634	477	274
635	477	273
636	478	272
637	478	271
638	478	270
639	479	269
640	479	268
641	479	267
642	479	266
643	480	265
644	480	264
645	480	263
646	480	262
647	481	261
648	481	260
649	481	259
650	482	258
651	482	257
652	482	256
653	482	255
654	483	254
655	483	253
656	483	252
657	483	251
658	484	250
659	484	249
660	484	248
661	484	247
662	485	246
663	485	245
664	485	244
665	485	243
666	486	242
667	486	241
668	486	240
669	487	239
670	487	238
671	487	237
672	487	237
673	488	236
674	488	235
675	508	243
676	529	252
677	529	251
678	529	250
679	529	249
680	530	248
681	530	247
682	530	246
683	531	245
684	531	244
685	531	243
686	531	242
687	532	241
688	532	240
689	532	239
690	532	238
691	533	237
692	533	236
693	533	235
694	534	234
695	534	233
696	534	232
697	534	231
698	535	230
699	535	229
700	535	228
701	535	227
702	536	226
703	536	225
704	536	224
705	536	223
706	537	222
707	537	221
708	537	220
709	537	219
710	538	218
711	538	217
712	538	216
713	539	215
714	539	215
715	539	214
716	539	213
717	540	212
718	540	211
719	540	210
720	541	209
721	541	208
722	541	207
723	541	206
724	542	205
725	542	204
726	542	203
727	542	202
728	543	201
729	543	200
730	543	200
731	543	199
732	544	198
733	544	197
734	544	196
735	544	195
736	545	194
737	545	193
738	545	192
739	546	191
740	546	190
741	546	190
742	546	189
743	547	188
744	547	187
745	547	186
746	547	185
747	548	184
748	548	183
749	548	182
750	548	181
751	549	181
752	549	180
753	549	179
754	549	178
755	550	177
756	550	176
757	550	175
758	550	174
759	551	174
760	551	173
761	551	172
762	551	171
763	552	170
764	552	169
765	552	168
766	553	168
767	553	167
768	553	166
769	553	165
770	554	164
771	554	163
772	554	162
773	554	162
774	555	161
775	555	160
776	555	159
777	555	158
778	556	157
779	556	156
780	556	156
781	557	155
782	557	154
783	557	153
784	598	163
785	598	162
786	598	162
787	599	161
788	599	160
789	599	159
790	599	158
791	600	157
792	600	156
793	600	155
794	600	154
795	601	154
796	601	153
797	601	152
798	601	151
799	602	150
800	602	149
801	602	148
802	602	147
803	603	147
804	603	146
805	603	145
806	603	144
807	604	143
